SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
530309,CHANDRA PRAB,X ,Q,21.15,21.15,21.15,21.15,21.15,22.00,1,200,4230.00,
530313,LAUREL ORGAN,P ,Q,45.90,45.90,45.90,45.90,45.90,45.90,1,500,22950.00,
530315,HIND.TIN WRK,X ,Q,97.20,100.00,95.00,96.20,96.20,97.20,323,33760,3246134.00,
530317,GODAVARI DRU,X ,Q,38.50,40.20,37.60,38.85,38.85,37.95,22,4619,179193.00,
530331,PREMCO GLOB.,X ,Q,425.00,430.00,425.00,426.00,426.00,424.90,7,216,92301.00,
530333,EMGEE CABLES,P ,Q,17.45,17.45,17.45,17.45,17.45,16.65,1,100,1745.00,
530341,MUKESH BABU ,X ,Q,98.00,99.90,98.00,98.00,98.00,101.45,5,129,12832.00,
530343,GENUS POWER ,B ,Q,81.00,83.75,77.30,80.50,80.50,80.55,2383,230622,18594116.00,
530355,ASIAN OILFIE,X ,Q,270.10,275.00,256.05,263.05,263.05,269.55,443,51132,13426970.00,
530357,KBS INDIA   ,SS,Q,4.65,4.65,4.60,4.60,4.60,4.49,7,9689,44569.00,
530363,UGAR SUGAR  ,B ,Q,23.80,24.25,23.55,23.65,23.80,23.70,188,55820,1326396.00,
530365,ORIENTBELL  ,B ,Q,320.00,320.50,310.00,314.00,314.10,320.35,239,7855,2471961.00,
530367,NRB BEARINGS,B ,Q,162.50,162.80,160.80,161.60,161.95,161.80,167,10561,1710450.00,
530369,VAMSHI RUBB.,X ,Q,53.10,53.10,52.00,52.50,52.50,52.80,13,1648,85865.00,
530377,NILA INFRA. ,B ,Q,23.95,24.65,23.60,24.00,24.00,24.00,1280,883711,21227018.00,
530381,PETRON ENGG.,B ,Q,139.00,140.00,131.00,131.10,131.05,134.40,20,1169,156591.00,
530401,VINYOFLEX LT,XT,Q,35.55,39.10,35.55,36.30,36.30,37.40,10,2740,99958.00,
530405,JINDAL CAP. ,XT,Q,9.95,9.97,9.50,9.97,9.90,9.50,29,8228,81246.00,
530419,SUMEDHA FISC,X ,Q,51.90,51.90,47.60,48.20,48.20,49.90,187,60180,2950826.00,
530421,KUWER INDS. ,X ,Q,8.32,8.32,7.92,7.92,7.92,8.33,5,4020,31846.00,
530427,CHOKSI IMAG ,X ,Q,37.90,37.90,33.75,35.30,35.30,34.10,36,13580,472299.00,
530429,ASHISH POLY.,XT,Q,14.12,14.12,14.12,14.12,14.12,13.45,9,1490,21038.00,
530431,ADOR FONTECH,X ,Q,125.70,126.00,121.50,125.40,125.40,125.20,138,13861,1707481.00,
530433,SHIVA FERT. ,X ,Q,93.00,93.00,87.20,91.35,91.90,89.55,306,41694,3748308.00,
530439,SIDDHA VEN  ,XT,Q,0.75,0.76,0.73,0.76,0.76,0.73,7,2650,1992.00,
530449,RUNGTA IRRIG,XT,Q,27.70,27.70,27.70,27.70,27.70,29.05,1,100,2770.00,
530459,VALSON INDUS,X ,Q,38.50,41.50,38.50,40.10,40.95,41.45,41,10476,422518.00,
530461,SABOO SODIUM,XT,Q,21.80,22.00,20.90,21.50,21.75,21.95,52,15389,328201.00,
530475,TINNARUBR   ,X ,Q,52.00,52.00,51.25,52.00,52.00,51.25,4,30,1552.00,
530477,VIKRAM THERM,X ,Q,122.00,123.95,120.30,123.00,123.70,123.35,51,3787,460950.00,
530495,CHHATT IND  ,X ,Q,7.25,7.25,7.25,7.25,7.25,7.25,4,2079,15072.00,
530499,A.K.CAPITAL ,X ,Q,558.00,579.00,557.00,563.90,563.90,568.75,71,3170,1800209.00,
530517,RELAXO FOOT.,B ,Q,658.10,658.10,630.00,635.90,635.00,645.00,207,2409,1539252.00,
530521,VIRAT INDUS.,X ,Q,191.00,194.95,190.10,191.80,191.50,191.40,40,4635,893144.00,
530525,SHEETAL DIAM,X ,Q,4.29,4.29,3.89,4.29,4.29,4.09,61,98474,403143.00,
530543,MARG LTD    ,XT,Q,24.60,24.60,24.60,24.60,24.60,25.85,24,9915,243909.00,
530545,COSCO INDIA ,X ,Q,409.90,414.80,398.00,406.40,408.90,402.90,37,479,194031.00,
530549,SHILPA MEDIC,B ,Q,580.00,595.00,580.00,587.65,585.00,581.25,206,3506,2066528.00,
530555,PARAMOUNT CO,B ,Q,15.50,16.25,15.20,15.20,15.20,15.95,125,77040,1173898.00,
530557,NCL RESEARCH,SS,Q,2.30,2.30,2.30,2.30,2.30,2.35,27,20203,46466.00,
530565,ARCHANA SOFT,X ,Q,2.03,2.03,2.03,2.03,2.03,2.13,4,777,1577.00,
530577,LADDERUP FIN,XT,Q,40.50,41.40,38.00,41.00,41.40,39.50,37,4367,176415.00,
530579,GOLDEN GOEN ,X ,Q,9.60,9.60,9.25,9.42,9.49,9.62,57,32871,306867.00,
530585,SWASTIK INV ,X ,Q,174.95,174.95,165.30,166.70,166.70,169.00,15,89,14969.00,
530589,PRIMA PLASTI,X ,Q,228.60,229.90,227.60,229.15,229.15,229.95,86,4351,994449.00,
530609,CARNATION IN,X ,Q,51.00,52.30,48.55,49.45,50.90,51.00,22,2967,149748.00,
530611,STURDY INDS ,ST,Q,1.01,1.01,1.01,1.01,1.01,1.01,18,110209,111311.00,
530617,SAMPRE NUTRI,XT,Q,85.50,85.50,81.40,82.60,83.00,85.50,35,5313,443882.00,
530621,AAIL        ,X ,Q,74.00,77.00,70.15,75.30,75.30,71.60,370,96258,7221908.00,
530627,VIPULORG    ,XT,Q,185.00,189.00,185.00,185.95,185.95,183.90,86,19935,3725010.00,
530643,ECORECO     ,XT,Q,74.00,75.00,70.50,74.45,74.50,74.20,103,19885,1461456.00,
